A4FK,"ESA:PC:LIFLOW:Currency and deposits",NSA,0,CURR,0,UKEA
ABJQ,"Household final consumption expenditure: National concept CP SA £m",SA,0,CURR,0,UKEA
AA6H,"BoP: current account balance as per cent of GDP",SA,0,CURR,0,UKEA
ABJR,"Household final consumption expenditure :National concept CVM SA - £m",SA,2010,CONS,0,UKEA
AARB,"BoP: FA: Liabs: General Govt.: Overseas holdings of Treasury bills: CP NSA",NSA,0,CURR,0,UKEA
ABMD,"Total gross final expenditure (unaligned) - P.3+P.5+P.6 : CP NSA £m",NSA,0,CURR,0,UKEA
ABMF,"Total gross final expenditure (aligned) - P.3+P.5+P.6 : CP SA £m",SA,0,CURR,0,UKEA
AASD,"BoP: FA: Liabs: Overseas sector finance : notes & coin: CP NSA",NSA,0,CURR,0,UKEA
ABME,"Total gross final expenditure (unaligned) - P.3+P.5+P.6:CVM NSA £m",NSA,2010,CONS,0,UKEA
ABMG,"Total gross final expenditure (aligned) - P.3+P.5+P.6 : CVM SA £m",SA,2010,CONS,0,UKEA
ABMI,"Gross Domestic Product: chained volume measures: Seasonally adjusted £m",SA,2010,CONS,0,UKEA
ABML,"Gross Value Added (Average) at basic prices: CP SA £m",SA,0,CURR,0,UKEA
ABKW,"UK: Total Final Consumption Expenditure: CP NSA",NSA,0,CURR,0,UKEA
ABMM,"Gross Value Added at basic prices:chained volume measures:Seasonally adjusted £m",SA,2010,CONS,0,UKEA
ABKY,"Total Final Consumption Expenditure: CP SA",SA,0,CURR,0,UKEA
CAEX,"Changes in inventories (CP SA) including alignment adjustment £m",SA,0,CURR,0,UKEA
CAFU,"Changes in inventories including alignment adjustment - CVM NAYear SA £m",SA,2010,CONS,0,UKEA
ABMP,"Gross Capital Formation: Changes in Inventories: CP NSA £m",NSA,0,CURR,0,UKEA
CAGQ,"Gross Domestic Product (Expenditure) current basic prices: aligned:SA £m",SA,0,CURR,0,UKEA
ABMQ,"Changes in Inventories CVM NSA £m",NSA,2010,CONS,0,UKEA
CAGR,"Gross Domestic Product (Expenditure) chained volume measure SA £m",SA,2010,CONS,0,UKEA
ABMZ,"Gross National Income: Current price: Seasonally adjusted £m",SA,0,CURR,0,UKEA
CAGS,"Gross Domestic Product (Income) current basic prices: aligned: SA £m",SA,0,CURR,0,UKEA
ABNU,"Final Consumption Expenditure of NPISHs: CVM NSA £m",NSA,2010,CONS,0,UKEA
CGBV,"Gross Value Added at basic prices: Implied deflator",SA,2010,DEFL,2010,UKEA
ABNV,"Final Consumption Expenditure: NPISHs: Current price NSA £m",NSA,0,CURR,0,UKEA
CGBX,"Income based: Other income: CP SA £m",SA,0,CURR,0,UKEA
ABPB,"Household final consumption expenditure: National concept CP NSA £m",NSA,0,CURR,0,UKEA
CGBZ,"Income based: Gross operating surplus of corporations : Total: CP SA £m",SA,0,CURR,0,UKEA
ABPF,"Household final consumption expenditure :National concept CVM NAYear NSA £m",NSA,2010,CONS,0,UKEA
CGCB,"Income based: Gross value added at factor cost: CP SA £m",SA,0,CURR,0,UKEA
ABTF,"Household final consumption expenditure: Net tourist expenditure CP SA £m",SA,0,CURR,0,UKEA
CGCE,"Gross value added at basic prices: CVM: Seasonally adjusted £m",SA,2010,CONS,2010,UKEA
ABMX,"Gross National Income: Current price: NSA",NSA,0,CURR,0,UKEA
ABTH,"Household final consumption expenditure :Net tourist expenditure CVM NAYear SA £",SA,2010,CONS,0,UKEA
CMVL,"whole economy: D2 less D3: pre-ESA95 factor cost adjustment: SA CP £m",SA,0,CURR,0,UKEA
BKTL,"Gross Domestic Product at market prices: CP: NSA £m",NSA,0,CURR,0,UKEA
DJDS,"National accounts residual error: CP: SA: £m",SA,0,CURR,0,UKEA
ABNF,"Gross Operating Surplus: Total: CP NSA",NSA,0,CURR,0,UKEA
BKVT,"Gross Domestic Product: CVM: NSA £m",NSA,2010,CONS,0,UKEA
DLWF,"Gross Fixed Capital Formation:Total General Government P51:CVM SA: £m",SA,2010,CONS,0,UKEA
ABNG,"Income & Capital Accounts: Gross Operating surplus: B.2g: CP SA",SA,0,CURR,0,UKEA
BOKG,"BOP:EX:SA:Total Trade in Goods £M £m",SA,0,CURR,0,UKEA
DMUM,"CVM SA changes in inventories timing adjustment £m",SA,2010,CONS,0,UKEA
BOKH,"BOP:IM:SA:Total Trade in Goods £M £m",SA,0,CURR,0,UKEA
DMUN,"CP SA changes in inventories timing adjustment £m",SA,0,CURR,0,UKEA
BOKI,"BOP:Balance:SA:Total Trade in Goods £M £m",SA,0,CURR,0,UKEA
DMUQ,"Gross Operating Surplus: NFCos: Private: Alignment adjustments: CP SA £m",SA,0,CURR,0,UKEA
BQKO,"BOP:IM:CVM:SA:Total Trade in Goods £m",SA,2010,CONS,0,UKEA
DTWM,"UK: Total compensation of employees (Uses): D.1: CP SA £m",SA,0,CURR,0,UKEA
BQKQ,"BOP:EX:CVM:SA:Total Trade in Goods £m",SA,2010,CONS,0,UKEA
GDPQ,"ESA95 % change on previous quarter: Gross value added at basic prices",SA,2006,CONS,2006,UKEA
ABQI,"Household final consumption expenditure: Domestic concept CP NSA",NSA,0,CURR,0,UKEA
GDPR,"ESA95 % change on same quarter previous year: Gross value added at basic prices",SA,2006,CONS,2006,UKEA
ABQJ,"Household final consumption expenditure :Domestic concept CVM NAYear NSA",NSA,2010,CONS,0,UKEA
GIXM,"Difference between GDP(E) and GDP(A) MP (SA CP) £m",SA,0,CURR,0,UKEA
ABRE,"Total actual individual final consumption CP NSA",NSA,0,CURR,0,UKEA
GIXQ,"Statistical discrepancy (income) £m",SA,0,CURR,0,UKEA
ABRF,"Total actual individual final consumption: CP SA",SA,0,CURR,0,UKEA
GIXS,"Difference between GDP(Expenditure) and GDP(Average) MP(CVM SA) £m",SA,2010,CONS,0,UKEA
ABTE,"Household final consumption expenditure: Net tourist expenditure CP NSA",NSA,0,CURR,0,UKEA
HAYE,"Final Consumption Expenditure of NPISHs CP SA £m",SA,0,CURR,0,UKEA
HAYO,"Final Consumption Expenditure of NPISHs CVM SA £m",SA,2010,CONS,0,UKEA
ABTG,"Household final consumption expenditure :Net tourist expenditure CVM NAYear NSA",NSA,2010,CONS,0,UKEA
IHYA,"Gross Domestic Product (Expenditure) at current basic prices index no",SA,0,CURR,2010,UKEA
IHYB,"Gross Domestic Product (Income) current basic prices index no: SA",SA,0,CURR,2010,UKEA
ABZV,"01 Food and non-alcoholic beverages CP NSA",NSA,0,CURR,0,UKEA
IHYC,"Gross Domestic Product (Expenditure) chained volume index: SA",SA,2010,CONS,2010,UKEA
ACQJ,"BoP IIP PI Liabilities level CG Treasury bills outstanding NSA £m",NSA,0,CURR,0,UKEA
IHYD,"Gross Domestic Product (Income) chained volume index: SA",SA,2010,CONS,2010,UKEA
ADAK,"Local Government : Total subsidies and subsidy for equity injection into HRA",NSA,0,CURR,0,UKEA
IHYM,"Gross domestic product at market prices annual growth rate CP SA",SA,0,CURR,0,UKEA
ADFL,"02 Alcoholic beverages and tobacco CP NSA",NSA,0,CURR,0,UKEA
IHYN,"Gross domestic product at market prices one quarter growth rate CP SA",SA,0,CURR,0,UKEA
ADFP,"03 Clothing and footwear CP NSA",NSA,0,CURR,0,UKEA
IHYO,"Gross domestic product at market prices four quarter growth rate CP SA",SA,0,CURR,0,UKEA
ADFS,"04 Housing; water; electricity; gas and other fuels CP NSA",NSA,0,CURR,0,UKEA
CAED,"Gross trading profits of private non-financial corporations:non ukcs (incl QAA)",SA,0,CURR,0,UKEA
IHYP,"Gross Domestic Product: Year on Year growth: CVM SA",SA,2010,CONS,0,UKEA
ADFY,"05 Furnishings; household equipment and routine maintenance of the house CP NSA",NSA,0,CURR,0,UKEA
IHYQ,"Gross Domestic Product: Quarter on Quarter growth: CVM SA",SA,2010,CONS,0,UKEA
