Theme,Level 2,Level 3,Name,Key,Units,CDID,,,,,,,,,,,,,,,,,Link,Notes
"Business, Industry and Trade",Retail Industry,,Retail Sales Volume including automotive fuel percentage change on same month a year earlier ,N,%,J5EB,"Business,IndustryandTrade",BusinessIndustryandTrade,RetailIndustry,RetailIndustry,,,,,/BusinessIndustryandTrade/RetailIndustry/timeseries/J5EB,/BusinessIndustryandTrade/RetailIndustry//timeseries/J5EB,/BusinessIndustryandTrade/RetailIndustry/timeseries/J5EB,/BusinessIndustryandTrade/RetailIndustry/timeseries/J5EB,/businessindustryandtrade/retailindustry/timeseries/j5eb,/businessindustryandtrade/retailindustry/timeseries/j5eb,/businessindustryandtrade/retailindustry/timeseries/j5eb,/businessindustryandtrade/retailindustry/timeseries/j5eb,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=drsi,
"Business, Industry and Trade",International Trade,,Trade in goods and services defecit (or surplus),Y,£ million,IKBJ,"Business,IndustryandTrade",BusinessIndustryandTrade,InternationalTrade,InternationalTrade,,,,,/BusinessIndustryandTrade/InternationalTrade/timeseries/IKBJ,/BusinessIndustryandTrade/InternationalTrade//timeseries/IKBJ,/BusinessIndustryandTrade/InternationalTrade/timeseries/IKBJ,/BusinessIndustryandTrade/InternationalTrade/timeseries/IKBJ,/businessindustryandtrade/internationaltrade/timeseries/ikbj,/businessindustryandtrade/internationaltrade/timeseries/ikbj,/businessindustryandtrade/internationaltrade/timeseries/ikbj,/businessindustryandtrade/internationaltrade/timeseries/ikbj,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=mret,
"Business, Industry and Trade",International Trade,,Total imports in goods and services,N,£ million,IKBI,"Business,IndustryandTrade",BusinessIndustryandTrade,InternationalTrade,InternationalTrade,,,,,/BusinessIndustryandTrade/InternationalTrade/timeseries/IKBI,/BusinessIndustryandTrade/InternationalTrade//timeseries/IKBI,/BusinessIndustryandTrade/InternationalTrade/timeseries/IKBI,/BusinessIndustryandTrade/InternationalTrade/timeseries/IKBI,/businessindustryandtrade/internationaltrade/timeseries/ikbi,/businessindustryandtrade/internationaltrade/timeseries/ikbi,/businessindustryandtrade/internationaltrade/timeseries/ikbi,/businessindustryandtrade/internationaltrade/timeseries/ikbi,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=mret,
"Business, Industry and Trade",International Trade,,Total exports in goods and services,N,£ million,IKBH,"Business,IndustryandTrade",BusinessIndustryandTrade,InternationalTrade,InternationalTrade,,,,,/BusinessIndustryandTrade/InternationalTrade/timeseries/IKBH,/BusinessIndustryandTrade/InternationalTrade//timeseries/IKBH,/BusinessIndustryandTrade/InternationalTrade/timeseries/IKBH,/BusinessIndustryandTrade/InternationalTrade/timeseries/IKBH,/businessindustryandtrade/internationaltrade/timeseries/ikbh,/businessindustryandtrade/internationaltrade/timeseries/ikbh,/businessindustryandtrade/internationaltrade/timeseries/ikbh,/businessindustryandtrade/internationaltrade/timeseries/ikbh,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=mret,
"Business, Industry and Trade",International Trade,,Balance of trade in goods from EMU member,N,£ million,MHN9,"Business,IndustryandTrade",BusinessIndustryandTrade,InternationalTrade,InternationalTrade,,,,,/BusinessIndustryandTrade/InternationalTrade/timeseries/MHN9,/BusinessIndustryandTrade/InternationalTrade//timeseries/MHN9,/BusinessIndustryandTrade/InternationalTrade/timeseries/MHN9,/BusinessIndustryandTrade/InternationalTrade/timeseries/MHN9,/businessindustryandtrade/internationaltrade/timeseries/mhn9,/businessindustryandtrade/internationaltrade/timeseries/mhn9,/businessindustryandtrade/internationaltrade/timeseries/mhn9,/businessindustryandtrade/internationaltrade/timeseries/mhn9,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=mret,
"Business, Industry and Trade",International Trade,,Balance of trade in goods from all EU,N,£ million,L87Q,"Business,IndustryandTrade",BusinessIndustryandTrade,InternationalTrade,InternationalTrade,,,,,/BusinessIndustryandTrade/InternationalTrade/timeseries/L87Q,/BusinessIndustryandTrade/InternationalTrade//timeseries/L87Q,/BusinessIndustryandTrade/InternationalTrade/timeseries/L87Q,/BusinessIndustryandTrade/InternationalTrade/timeseries/L87Q,/businessindustryandtrade/internationaltrade/timeseries/l87q,/businessindustryandtrade/internationaltrade/timeseries/l87q,/businessindustryandtrade/internationaltrade/timeseries/l87q,/businessindustryandtrade/internationaltrade/timeseries/l87q,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=mret,
"Business, Industry and Trade",International Trade,,Balance of trade in goods from all Non-EU,N,£ million,L87K,"Business,IndustryandTrade",BusinessIndustryandTrade,InternationalTrade,InternationalTrade,,,,,/BusinessIndustryandTrade/InternationalTrade/timeseries/L87K,/BusinessIndustryandTrade/InternationalTrade//timeseries/L87K,/BusinessIndustryandTrade/InternationalTrade/timeseries/L87K,/BusinessIndustryandTrade/InternationalTrade/timeseries/L87K,/businessindustryandtrade/internationaltrade/timeseries/l87k,/businessindustryandtrade/internationaltrade/timeseries/l87k,/businessindustryandtrade/internationaltrade/timeseries/l87k,/businessindustryandtrade/internationaltrade/timeseries/l87k,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=mret,
"Business, Industry and Trade",Construction Industry,,Value of construction output  - all new work,Y,£ Million,RAID9,"Business,IndustryandTrade",BusinessIndustryandTrade,ConstructionIndustry,ConstructionIndustry,,,,,/BusinessIndustryandTrade/ConstructionIndustry/timeseries/RAID9,/BusinessIndustryandTrade/ConstructionIndustry//timeseries/RAID9,/BusinessIndustryandTrade/ConstructionIndustry/timeseries/RAID9,/BusinessIndustryandTrade/ConstructionIndustry/timeseries/RAID9,/businessindustryandtrade/constructionindustry/timeseries/raid9,/businessindustryandtrade/constructionindustry/timeseries/raid9,/businessindustryandtrade/constructionindustry/timeseries/raid9,/businessindustryandtrade/constructionindustry/timeseries/raid9,http://www.ons.gov.uk/ons/rel/construction/output-in-the-construction-industry/june-and-q2-2014/rft-output-tables-june-2014.xls,
"Business, Industry and Trade",Construction Industry,,Value of construction output - all work,N,£ Million,RAID10,"Business,IndustryandTrade",BusinessIndustryandTrade,ConstructionIndustry,ConstructionIndustry,,,,,/BusinessIndustryandTrade/ConstructionIndustry/timeseries/RAID10,/BusinessIndustryandTrade/ConstructionIndustry//timeseries/RAID10,/BusinessIndustryandTrade/ConstructionIndustry/timeseries/RAID10,/BusinessIndustryandTrade/ConstructionIndustry/timeseries/RAID10,/businessindustryandtrade/constructionindustry/timeseries/raid10,/businessindustryandtrade/constructionindustry/timeseries/raid10,/businessindustryandtrade/constructionindustry/timeseries/raid10,/businessindustryandtrade/constructionindustry/timeseries/raid10,http://www.ons.gov.uk/ons/rel/construction/output-in-the-construction-industry/june-and-q2-2014/rft-output-tables-june-2014.xls,
"Business, Industry and Trade",Construction Industry,,Value of construction output - repariand mainanence,N,£ Million,RAID11,"Business,IndustryandTrade",BusinessIndustryandTrade,ConstructionIndustry,ConstructionIndustry,,,,,/BusinessIndustryandTrade/ConstructionIndustry/timeseries/RAID11,/BusinessIndustryandTrade/ConstructionIndustry//timeseries/RAID11,/BusinessIndustryandTrade/ConstructionIndustry/timeseries/RAID11,/BusinessIndustryandTrade/ConstructionIndustry/timeseries/RAID11,/businessindustryandtrade/constructionindustry/timeseries/raid11,/businessindustryandtrade/constructionindustry/timeseries/raid11,/businessindustryandtrade/constructionindustry/timeseries/raid11,/businessindustryandtrade/constructionindustry/timeseries/raid11,http://www.ons.gov.uk/ons/rel/construction/output-in-the-construction-industry/june-and-q2-2014/rft-output-tables-june-2014.xls,
