Theme,Level 2,Level 3,Name,Key,Units,CDID,,,,,,,,,,,,,,,,,Link,Notes
Economy,"Government, Public Sector and Taxes",Public Sector Finance,Public Sector net lending excluding banks,N,£ million,HF6X,Economy,Economy,"Government,PublicSectorandTaxes",GovernmentPublicSectorandTaxes,PublicSectorFinance,PublicSectorFinance,PublicSectorFinance,PublicSectorFinance,/Economy/GovernmentPublicSectorandTaxes/timeseries/HF6X,/Economy/GovernmentPublicSectorandTaxes/PublicSectorFinance/timeseries/HF6X,/Economy/GovernmentPublicSectorandTaxes/PublicSectorFinance/timeseries/HF6X,/Economy/GovernmentPublicSectorandTaxes/PublicSectorFinance/timeseries/HF6X,/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/hf6x,/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/hf6x,/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/hf6x,/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/hf6x,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=pusf,TO BE UPDATED IN OCTOBER
Economy,"Government, Public Sector and Taxes",Public Sector Finance,Public Sector current budget,N,£ million,ANMU,Economy,Economy,"Government,PublicSectorandTaxes",GovernmentPublicSectorandTaxes,PublicSectorFinance,PublicSectorFinance,PublicSectorFinance,PublicSectorFinance,/Economy/GovernmentPublicSectorandTaxes/timeseries/ANMU,/Economy/GovernmentPublicSectorandTaxes/PublicSectorFinance/timeseries/ANMU,/Economy/GovernmentPublicSectorandTaxes/PublicSectorFinance/timeseries/ANMU,/Economy/GovernmentPublicSectorandTaxes/PublicSectorFinance/timeseries/ANMU,/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/anmu,/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/anmu,/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/anmu,/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/anmu,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=pusf,TO BE UPDATED IN OCTOBER
Economy,"Government, Public Sector and Taxes",Public Sector Finance,Public Sector net investment,N,£ million,ANNW,Economy,Economy,"Government,PublicSectorandTaxes",GovernmentPublicSectorandTaxes,PublicSectorFinance,PublicSectorFinance,PublicSectorFinance,PublicSectorFinance,/Economy/GovernmentPublicSectorandTaxes/timeseries/ANNW,/Economy/GovernmentPublicSectorandTaxes/PublicSectorFinance/timeseries/ANNW,/Economy/GovernmentPublicSectorandTaxes/PublicSectorFinance/timeseries/ANNW,/Economy/GovernmentPublicSectorandTaxes/PublicSectorFinance/timeseries/ANNW,/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/annw,/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/annw,/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/annw,/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/annw,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=pusf,TO BE UPDATED IN OCTOBER
Economy,"Government, Public Sector and Taxes",Public Sector Finance,Public Sector Net Cash Requirement (NCR),N,£ million,RURQ,Economy,Economy,"Government,PublicSectorandTaxes",GovernmentPublicSectorandTaxes,PublicSectorFinance,PublicSectorFinance,PublicSectorFinance,PublicSectorFinance,/Economy/GovernmentPublicSectorandTaxes/timeseries/RURQ,/Economy/GovernmentPublicSectorandTaxes/PublicSectorFinance/timeseries/RURQ,/Economy/GovernmentPublicSectorandTaxes/PublicSectorFinance/timeseries/RURQ,/Economy/GovernmentPublicSectorandTaxes/PublicSectorFinance/timeseries/RURQ,/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/rurq,/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/rurq,/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/rurq,/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/rurq,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=pusf,TO BE UPDATED IN OCTOBER
Economy,"Government, Public Sector and Taxes",Research and Development Expenditure,Gross domestic expenditure on research and development,Y,£ billion,GLBA,Economy,Economy,"Government,PublicSectorandTaxes",GovernmentPublicSectorandTaxes,ResearchandDevelopmentExpenditure,ResearchandDevelopmentExpenditure,ResearchandDevelopmentExpenditure,ResearchandDevelopmentExpenditure,/Economy/GovernmentPublicSectorandTaxes/timeseries/GLBA,/Economy/GovernmentPublicSectorandTaxes/ResearchandDevelopmentExpenditure/timeseries/GLBA,/Economy/GovernmentPublicSectorandTaxes/ResearchandDevelopmentExpenditure/timeseries/GLBA,/Economy/GovernmentPublicSectorandTaxes/ResearchandDevelopmentExpenditure/timeseries/GLBA,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/glba,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/glba,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/glba,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/glba,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=gerd,
Economy,"Government, Public Sector and Taxes",Research and Development Expenditure,Government expenditure on research and development,N,£ billion,GLBK,Economy,Economy,"Government,PublicSectorandTaxes",GovernmentPublicSectorandTaxes,ResearchandDevelopmentExpenditure,ResearchandDevelopmentExpenditure,ResearchandDevelopmentExpenditure,ResearchandDevelopmentExpenditure,/Economy/GovernmentPublicSectorandTaxes/timeseries/GLBK,/Economy/GovernmentPublicSectorandTaxes/ResearchandDevelopmentExpenditure/timeseries/GLBK,/Economy/GovernmentPublicSectorandTaxes/ResearchandDevelopmentExpenditure/timeseries/GLBK,/Economy/GovernmentPublicSectorandTaxes/ResearchandDevelopmentExpenditure/timeseries/GLBK,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/glbk,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/glbk,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/glbk,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/glbk,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=gerd,
Economy,"Government, Public Sector and Taxes",Research and Development Expenditure,Research Councils expenditure on research and development,N,£ billion,DMRS,Economy,Economy,"Government,PublicSectorandTaxes",GovernmentPublicSectorandTaxes,ResearchandDevelopmentExpenditure,ResearchandDevelopmentExpenditure,ResearchandDevelopmentExpenditure,ResearchandDevelopmentExpenditure,/Economy/GovernmentPublicSectorandTaxes/timeseries/DMRS,/Economy/GovernmentPublicSectorandTaxes/ResearchandDevelopmentExpenditure/timeseries/DMRS,/Economy/GovernmentPublicSectorandTaxes/ResearchandDevelopmentExpenditure/timeseries/DMRS,/Economy/GovernmentPublicSectorandTaxes/ResearchandDevelopmentExpenditure/timeseries/DMRS,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/dmrs,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/dmrs,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/dmrs,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/dmrs,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=gerd,
Economy,"Government, Public Sector and Taxes",Research and Development Expenditure,Business Enterprise expenditure on research and development,N,£ billion,GLBL,Economy,Economy,"Government,PublicSectorandTaxes",GovernmentPublicSectorandTaxes,ResearchandDevelopmentExpenditure,ResearchandDevelopmentExpenditure,ResearchandDevelopmentExpenditure,ResearchandDevelopmentExpenditure,/Economy/GovernmentPublicSectorandTaxes/timeseries/GLBL,/Economy/GovernmentPublicSectorandTaxes/ResearchandDevelopmentExpenditure/timeseries/GLBL,/Economy/GovernmentPublicSectorandTaxes/ResearchandDevelopmentExpenditure/timeseries/GLBL,/Economy/GovernmentPublicSectorandTaxes/ResearchandDevelopmentExpenditure/timeseries/GLBL,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/glbl,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/glbl,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/glbl,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/glbl,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=gerd,
Economy,"Government, Public Sector and Taxes",Research and Development Expenditure,Higher Education expenditure on research and development,N,£ billion,GLBM,Economy,Economy,"Government,PublicSectorandTaxes",GovernmentPublicSectorandTaxes,ResearchandDevelopmentExpenditure,ResearchandDevelopmentExpenditure,ResearchandDevelopmentExpenditure,ResearchandDevelopmentExpenditure,/Economy/GovernmentPublicSectorandTaxes/timeseries/GLBM,/Economy/GovernmentPublicSectorandTaxes/ResearchandDevelopmentExpenditure/timeseries/GLBM,/Economy/GovernmentPublicSectorandTaxes/ResearchandDevelopmentExpenditure/timeseries/GLBM,/Economy/GovernmentPublicSectorandTaxes/ResearchandDevelopmentExpenditure/timeseries/GLBM,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/glbm,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/glbm,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/glbm,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/glbm,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=gerd,
Economy,"Government, Public Sector and Taxes",Research and Development Expenditure,Private Non-Profit expenditure on research and development,N,£ billion,GLBN,Economy,Economy,"Government,PublicSectorandTaxes",GovernmentPublicSectorandTaxes,ResearchandDevelopmentExpenditure,ResearchandDevelopmentExpenditure,ResearchandDevelopmentExpenditure,ResearchandDevelopmentExpenditure,/Economy/GovernmentPublicSectorandTaxes/timeseries/GLBN,/Economy/GovernmentPublicSectorandTaxes/ResearchandDevelopmentExpenditure/timeseries/GLBN,/Economy/GovernmentPublicSectorandTaxes/ResearchandDevelopmentExpenditure/timeseries/GLBN,/Economy/GovernmentPublicSectorandTaxes/ResearchandDevelopmentExpenditure/timeseries/GLBN,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/glbn,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/glbn,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/glbn,/economy/governmentpublicsectorandtaxes/researchanddevelopmentexpenditure/timeseries/glbn,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=gerd,
Economy,Economic Output and Productivity,,Production Index ,Y,"Index, 2010 = 100",L2KQ,Economy,Economy,EconomicOutputandProductivity,EconomicOutputandProductivity,,,,,/Economy/EconomicOutputandProductivity/timeseries/L2KQ,/Economy/EconomicOutputandProductivity//timeseries/L2KQ,/Economy/EconomicOutputandProductivity/timeseries/L2KQ,/Economy/EconomicOutputandProductivity/timeseries/L2KQ,/economy/economicoutputandproductivity/timeseries/l2kq,/economy/economicoutputandproductivity/timeseries/l2kq,/economy/economicoutputandproductivity/timeseries/l2kq,/economy/economicoutputandproductivity/timeseries/l2kq,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ukea,
Economy,Economic Output and Productivity,,Manufacturing,N,"Index, 2010 = 100",L2KX,Economy,Economy,EconomicOutputandProductivity,EconomicOutputandProductivity,,,,,/Economy/EconomicOutputandProductivity/timeseries/L2KX,/Economy/EconomicOutputandProductivity//timeseries/L2KX,/Economy/EconomicOutputandProductivity/timeseries/L2KX,/Economy/EconomicOutputandProductivity/timeseries/L2KX,/economy/economicoutputandproductivity/timeseries/l2kx,/economy/economicoutputandproductivity/timeseries/l2kx,/economy/economicoutputandproductivity/timeseries/l2kx,/economy/economicoutputandproductivity/timeseries/l2kx,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ukea,
Economy,Economic Output and Productivity,,"Agriculture, Forestry and Fishing",N,"Index, 2010 = 100",L2KL,Economy,Economy,EconomicOutputandProductivity,EconomicOutputandProductivity,,,,,/Economy/EconomicOutputandProductivity/timeseries/L2KL,/Economy/EconomicOutputandProductivity//timeseries/L2KL,/Economy/EconomicOutputandProductivity/timeseries/L2KL,/Economy/EconomicOutputandProductivity/timeseries/L2KL,/economy/economicoutputandproductivity/timeseries/l2kl,/economy/economicoutputandproductivity/timeseries/l2kl,/economy/economicoutputandproductivity/timeseries/l2kl,/economy/economicoutputandproductivity/timeseries/l2kl,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ukea,
Economy,Economic Output and Productivity,,Construction Index ,N,"Index, 2010 = 100",L2N8,Economy,Economy,EconomicOutputandProductivity,EconomicOutputandProductivity,,,,,/Economy/EconomicOutputandProductivity/timeseries/L2N8,/Economy/EconomicOutputandProductivity//timeseries/L2N8,/Economy/EconomicOutputandProductivity/timeseries/L2N8,/Economy/EconomicOutputandProductivity/timeseries/L2N8,/economy/economicoutputandproductivity/timeseries/l2n8,/economy/economicoutputandproductivity/timeseries/l2n8,/economy/economicoutputandproductivity/timeseries/l2n8,/economy/economicoutputandproductivity/timeseries/l2n8,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ukea,
Economy,Economic Output and Productivity,,Services Index ,N,"Index, 2010 = 100",L2NC,Economy,Economy,EconomicOutputandProductivity,EconomicOutputandProductivity,,,,,/Economy/EconomicOutputandProductivity/timeseries/L2NC,/Economy/EconomicOutputandProductivity//timeseries/L2NC,/Economy/EconomicOutputandProductivity/timeseries/L2NC,/Economy/EconomicOutputandProductivity/timeseries/L2NC,/economy/economicoutputandproductivity/timeseries/l2nc,/economy/economicoutputandproductivity/timeseries/l2nc,/economy/economicoutputandproductivity/timeseries/l2nc,/economy/economicoutputandproductivity/timeseries/l2nc,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ukea,
Economy,Gross Value Added (GVA),,United Kingdom,Y,£ million,ABML,Economy,Economy,GrossValueAdded(GVA),GrossValueAdded(GVA),,,,,/Economy/GrossValueAdded(GVA)/timeseries/ABML,/Economy/GrossValueAdded(GVA)//timeseries/ABML,/Economy/GrossValueAdded(GVA)/timeseries/ABML,/Economy/GrossValueAdded(GVA)/timeseries/ABML,/economy/grossvalueadded(gva)/timeseries/abml,/economy/grossvalueaddedgva)/timeseries/abml,/economy/grossvalueaddedgva/timeseries/abml,/economy/grossvalueaddedgva/timeseries/abml,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ragv,
Economy,Gross Value Added (GVA),,North East Gross Value Added,N,£ million,TMPW,Economy,Economy,GrossValueAdded(GVA),GrossValueAdded(GVA),,,,,/Economy/GrossValueAdded(GVA)/timeseries/TMPW,/Economy/GrossValueAdded(GVA)//timeseries/TMPW,/Economy/GrossValueAdded(GVA)/timeseries/TMPW,/Economy/GrossValueAdded(GVA)/timeseries/TMPW,/economy/grossvalueadded(gva)/timeseries/tmpw,/economy/grossvalueaddedgva)/timeseries/tmpw,/economy/grossvalueaddedgva/timeseries/tmpw,/economy/grossvalueaddedgva/timeseries/tmpw,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ragv,
Economy,Gross Value Added (GVA),,North West Gross Value Added,N,£ million,TMPX,Economy,Economy,GrossValueAdded(GVA),GrossValueAdded(GVA),,,,,/Economy/GrossValueAdded(GVA)/timeseries/TMPX,/Economy/GrossValueAdded(GVA)//timeseries/TMPX,/Economy/GrossValueAdded(GVA)/timeseries/TMPX,/Economy/GrossValueAdded(GVA)/timeseries/TMPX,/economy/grossvalueadded(gva)/timeseries/tmpx,/economy/grossvalueaddedgva)/timeseries/tmpx,/economy/grossvalueaddedgva/timeseries/tmpx,/economy/grossvalueaddedgva/timeseries/tmpx,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ragv,
Economy,Gross Value Added (GVA),,Yorkshire and The Humber Gross Value Added,N,£ million,TMPY,Economy,Economy,GrossValueAdded(GVA),GrossValueAdded(GVA),,,,,/Economy/GrossValueAdded(GVA)/timeseries/TMPY,/Economy/GrossValueAdded(GVA)//timeseries/TMPY,/Economy/GrossValueAdded(GVA)/timeseries/TMPY,/Economy/GrossValueAdded(GVA)/timeseries/TMPY,/economy/grossvalueadded(gva)/timeseries/tmpy,/economy/grossvalueaddedgva)/timeseries/tmpy,/economy/grossvalueaddedgva/timeseries/tmpy,/economy/grossvalueaddedgva/timeseries/tmpy,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ragv,
Economy,Gross Value Added (GVA),,East Midlands Gross Value Added,N,£ million,TMPZ,Economy,Economy,GrossValueAdded(GVA),GrossValueAdded(GVA),,,,,/Economy/GrossValueAdded(GVA)/timeseries/TMPZ,/Economy/GrossValueAdded(GVA)//timeseries/TMPZ,/Economy/GrossValueAdded(GVA)/timeseries/TMPZ,/Economy/GrossValueAdded(GVA)/timeseries/TMPZ,/economy/grossvalueadded(gva)/timeseries/tmpz,/economy/grossvalueaddedgva)/timeseries/tmpz,/economy/grossvalueaddedgva/timeseries/tmpz,/economy/grossvalueaddedgva/timeseries/tmpz,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ragv,
Economy,Gross Value Added (GVA),,West Midlands Gross Value Added,N,£ million,TMQA,Economy,Economy,GrossValueAdded(GVA),GrossValueAdded(GVA),,,,,/Economy/GrossValueAdded(GVA)/timeseries/TMQA,/Economy/GrossValueAdded(GVA)//timeseries/TMQA,/Economy/GrossValueAdded(GVA)/timeseries/TMQA,/Economy/GrossValueAdded(GVA)/timeseries/TMQA,/economy/grossvalueadded(gva)/timeseries/tmqa,/economy/grossvalueaddedgva)/timeseries/tmqa,/economy/grossvalueaddedgva/timeseries/tmqa,/economy/grossvalueaddedgva/timeseries/tmqa,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ragv,
Economy,Gross Value Added (GVA),,East of England Gross Value Added,N,£ million,DGPH,Economy,Economy,GrossValueAdded(GVA),GrossValueAdded(GVA),,,,,/Economy/GrossValueAdded(GVA)/timeseries/DGPH,/Economy/GrossValueAdded(GVA)//timeseries/DGPH,/Economy/GrossValueAdded(GVA)/timeseries/DGPH,/Economy/GrossValueAdded(GVA)/timeseries/DGPH,/economy/grossvalueadded(gva)/timeseries/dgph,/economy/grossvalueaddedgva)/timeseries/dgph,/economy/grossvalueaddedgva/timeseries/dgph,/economy/grossvalueaddedgva/timeseries/dgph,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ragv,
Economy,Gross Value Added (GVA),,London Gross Value Added,N,£ million,DGPI,Economy,Economy,GrossValueAdded(GVA),GrossValueAdded(GVA),,,,,/Economy/GrossValueAdded(GVA)/timeseries/DGPI,/Economy/GrossValueAdded(GVA)//timeseries/DGPI,/Economy/GrossValueAdded(GVA)/timeseries/DGPI,/Economy/GrossValueAdded(GVA)/timeseries/DGPI,/economy/grossvalueadded(gva)/timeseries/dgpi,/economy/grossvalueaddedgva)/timeseries/dgpi,/economy/grossvalueaddedgva/timeseries/dgpi,/economy/grossvalueaddedgva/timeseries/dgpi,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ragv,
Economy,Gross Value Added (GVA),,South East Gross Value Added,N,£ million,DGPJ,Economy,Economy,GrossValueAdded(GVA),GrossValueAdded(GVA),,,,,/Economy/GrossValueAdded(GVA)/timeseries/DGPJ,/Economy/GrossValueAdded(GVA)//timeseries/DGPJ,/Economy/GrossValueAdded(GVA)/timeseries/DGPJ,/Economy/GrossValueAdded(GVA)/timeseries/DGPJ,/economy/grossvalueadded(gva)/timeseries/dgpj,/economy/grossvalueaddedgva)/timeseries/dgpj,/economy/grossvalueaddedgva/timeseries/dgpj,/economy/grossvalueaddedgva/timeseries/dgpj,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ragv,
Economy,Gross Value Added (GVA),,South West Gross Value Added,N,£ million,TMQE,Economy,Economy,GrossValueAdded(GVA),GrossValueAdded(GVA),,,,,/Economy/GrossValueAdded(GVA)/timeseries/TMQE,/Economy/GrossValueAdded(GVA)//timeseries/TMQE,/Economy/GrossValueAdded(GVA)/timeseries/TMQE,/Economy/GrossValueAdded(GVA)/timeseries/TMQE,/economy/grossvalueadded(gva)/timeseries/tmqe,/economy/grossvalueaddedgva)/timeseries/tmqe,/economy/grossvalueaddedgva/timeseries/tmqe,/economy/grossvalueaddedgva/timeseries/tmqe,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ragv,
Economy,Gross Value Added (GVA),,Wales Gross Value Added,N,£ million,TMQG,Economy,Economy,GrossValueAdded(GVA),GrossValueAdded(GVA),,,,,/Economy/GrossValueAdded(GVA)/timeseries/TMQG,/Economy/GrossValueAdded(GVA)//timeseries/TMQG,/Economy/GrossValueAdded(GVA)/timeseries/TMQG,/Economy/GrossValueAdded(GVA)/timeseries/TMQG,/economy/grossvalueadded(gva)/timeseries/tmqg,/economy/grossvalueaddedgva)/timeseries/tmqg,/economy/grossvalueaddedgva/timeseries/tmqg,/economy/grossvalueaddedgva/timeseries/tmqg,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ragv,
Economy,Gross Value Added (GVA),,Scotland Gross Value Added,N,£ million,TMQH,Economy,Economy,GrossValueAdded(GVA),GrossValueAdded(GVA),,,,,/Economy/GrossValueAdded(GVA)/timeseries/TMQH,/Economy/GrossValueAdded(GVA)//timeseries/TMQH,/Economy/GrossValueAdded(GVA)/timeseries/TMQH,/Economy/GrossValueAdded(GVA)/timeseries/TMQH,/economy/grossvalueadded(gva)/timeseries/tmqh,/economy/grossvalueaddedgva)/timeseries/tmqh,/economy/grossvalueaddedgva/timeseries/tmqh,/economy/grossvalueaddedgva/timeseries/tmqh,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ragv,
Economy,Gross Value Added (GVA),,Northern Ireland Gross Value Added,N,£ million,TMQI,Economy,Economy,GrossValueAdded(GVA),GrossValueAdded(GVA),,,,,/Economy/GrossValueAdded(GVA)/timeseries/TMQI,/Economy/GrossValueAdded(GVA)//timeseries/TMQI,/Economy/GrossValueAdded(GVA)/timeseries/TMQI,/Economy/GrossValueAdded(GVA)/timeseries/TMQI,/economy/grossvalueadded(gva)/timeseries/tmqi,/economy/grossvalueaddedgva)/timeseries/tmqi,/economy/grossvalueaddedgva/timeseries/tmqi,/economy/grossvalueaddedgva/timeseries/tmqi,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ragv,
Economy,"Investments, Pensions and Trusts",,Net investment flows into the UK,Y,£ million,RAID135,Economy,Economy,"Investments,PensionsandTrusts",InvestmentsPensionsandTrusts,,,,,/Economy/InvestmentsPensionsandTrusts/timeseries/RAID135,/Economy/InvestmentsPensionsandTrusts//timeseries/RAID135,/Economy/InvestmentsPensionsandTrusts/timeseries/RAID135,/Economy/InvestmentsPensionsandTrusts/timeseries/RAID135,/economy/investmentspensionsandtrusts/timeseries/raid135,/economy/investmentspensionsandtrusts/timeseries/raid135,/economy/investmentspensionsandtrusts/timeseries/raid135,/economy/investmentspensionsandtrusts/timeseries/raid135,http://www.ons.gov.uk/ons/rel/fdi/foreign-direct-investment/2012-ma4/rft-fdi-ma4-2012.xls,
Economy,"Investments, Pensions and Trusts",,Net flow of direct investment abroad by UK companies,N,£ million,RAID136,Economy,Economy,"Investments,PensionsandTrusts",InvestmentsPensionsandTrusts,,,,,/Economy/InvestmentsPensionsandTrusts/timeseries/RAID136,/Economy/InvestmentsPensionsandTrusts//timeseries/RAID136,/Economy/InvestmentsPensionsandTrusts/timeseries/RAID136,/Economy/InvestmentsPensionsandTrusts/timeseries/RAID136,/economy/investmentspensionsandtrusts/timeseries/raid136,/economy/investmentspensionsandtrusts/timeseries/raid136,/economy/investmentspensionsandtrusts/timeseries/raid136,/economy/investmentspensionsandtrusts/timeseries/raid136,http://www.ons.gov.uk/ons/rel/fdi/foreign-direct-investment/2012-ma4/rft-fdi-ma4-2012.xls,
Economy,"Investments, Pensions and Trusts",,Net investment flows to Europe,N,£ million,RAID137,Economy,Economy,"Investments,PensionsandTrusts",InvestmentsPensionsandTrusts,,,,,/Economy/InvestmentsPensionsandTrusts/timeseries/RAID137,/Economy/InvestmentsPensionsandTrusts//timeseries/RAID137,/Economy/InvestmentsPensionsandTrusts/timeseries/RAID137,/Economy/InvestmentsPensionsandTrusts/timeseries/RAID137,/economy/investmentspensionsandtrusts/timeseries/raid137,/economy/investmentspensionsandtrusts/timeseries/raid137,/economy/investmentspensionsandtrusts/timeseries/raid137,/economy/investmentspensionsandtrusts/timeseries/raid137,http://www.ons.gov.uk/ons/rel/fdi/foreign-direct-investment/2012-ma4/rft-fdi-ma4-2012.xls,
Economy,Regional Accounts,,Gross Disposable Household Income United Kingdom,Y,£ million,QWND,Economy,Economy,RegionalAccounts,RegionalAccounts,,,,,/Economy/RegionalAccounts/timeseries/QWND,/Economy/RegionalAccounts//timeseries/QWND,/Economy/RegionalAccounts/timeseries/QWND,/Economy/RegionalAccounts/timeseries/QWND,/economy/regionalaccounts/timeseries/qwnd,/economy/regionalaccounts/timeseries/qwnd,/economy/regionalaccounts/timeseries/qwnd,/economy/regionalaccounts/timeseries/qwnd,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=rghi,
Economy,Regional Accounts,,Gross Disposable Household Income North East,N,£ million,C92I,Economy,Economy,RegionalAccounts,RegionalAccounts,,,,,/Economy/RegionalAccounts/timeseries/C92I,/Economy/RegionalAccounts//timeseries/C92I,/Economy/RegionalAccounts/timeseries/C92I,/Economy/RegionalAccounts/timeseries/C92I,/economy/regionalaccounts/timeseries/c92i,/economy/regionalaccounts/timeseries/c92i,/economy/regionalaccounts/timeseries/c92i,/economy/regionalaccounts/timeseries/c92i,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=rghi,
Economy,Regional Accounts,,Gross Disposable Household Income North West,N,£ million,C92J,Economy,Economy,RegionalAccounts,RegionalAccounts,,,,,/Economy/RegionalAccounts/timeseries/C92J,/Economy/RegionalAccounts//timeseries/C92J,/Economy/RegionalAccounts/timeseries/C92J,/Economy/RegionalAccounts/timeseries/C92J,/economy/regionalaccounts/timeseries/c92j,/economy/regionalaccounts/timeseries/c92j,/economy/regionalaccounts/timeseries/c92j,/economy/regionalaccounts/timeseries/c92j,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=rghi,
Economy,Regional Accounts,,Gross Disposable Household Income Yorkshire and The Humber,N,£ million,C92K,Economy,Economy,RegionalAccounts,RegionalAccounts,,,,,/Economy/RegionalAccounts/timeseries/C92K,/Economy/RegionalAccounts//timeseries/C92K,/Economy/RegionalAccounts/timeseries/C92K,/Economy/RegionalAccounts/timeseries/C92K,/economy/regionalaccounts/timeseries/c92k,/economy/regionalaccounts/timeseries/c92k,/economy/regionalaccounts/timeseries/c92k,/economy/regionalaccounts/timeseries/c92k,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=rghi,
Economy,Regional Accounts,,Gross Disposable Household Income East Midlands,N,£ million,C92L,Economy,Economy,RegionalAccounts,RegionalAccounts,,,,,/Economy/RegionalAccounts/timeseries/C92L,/Economy/RegionalAccounts//timeseries/C92L,/Economy/RegionalAccounts/timeseries/C92L,/Economy/RegionalAccounts/timeseries/C92L,/economy/regionalaccounts/timeseries/c92l,/economy/regionalaccounts/timeseries/c92l,/economy/regionalaccounts/timeseries/c92l,/economy/regionalaccounts/timeseries/c92l,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=rghi,
