,JQ2J,JQ2N,JQ2Y,JQ32,JQ33,JQ34,JQ37,JQ3B,JQ3C,JQ3D,JQ3E,JQ3I,JQ3M,JQ3O,JQ3P,JQ3Q,JQ3R,JQ3S,JQ3V,JQ3W,JQ3Z,JQ44,JQ45,JQ46,JQ4B,JQ4I,JQ4J,JQ4K,JQ4R,JQ4S,JQ4T,JQ4U,JQ4V,JQ4W,JQ5H,JQ5I,JQ5J,JQ5N,JQ5O,JQ5P,JQ5Q,JQ5R,JQ5S,JQ5Z,JQ62,JQ63,JQ64,JQ65,JQ66,JQ67,JQ68,JQ69,JQ6A,JQ6B,JQ6C,JQ6D,JQ6E,JQ6F,JQ6G,JQ6H,JQ6I,JQ6P,JQ6Q,JQ6R,JQ6S,JQ6T,JQ6U,JQ6V,JQ6W,JQ6X,JQ6Y,JQ6Z,JQ72,JQ73,JQ74,JQ75,JQ76,JQ77,JQ78,JQ79,JQ7A,JQ7B,JQ7C,JQ7D,JQ7E,JQ7F,JQ7G,JQ7H,JQ7I,JQ7J,JQ7K,JQ7L,JQ7M,JQ7N,JQ82,JQ83,JQ84,JQ88,JQ89,JQ8A,JQ8B,JQ8C,JQ8D,JQ8H,JQ8I,JQ8J,JQ8N,JQ8O,JQ8P,JQ97,JQ98,JQ99,JQ9S,JQ9T,JQ9U,JQ9V,JQ9W,JQ9X,JQ9Y,JQ9Z,JQA2,JQF5,JQF6,JQF7,JQF8,JQF9,JQG2,JQJ3,JQJ4,JQJ5,JQJ6,JQJ7,JQJ8,JQN7,JQN8,JQN9,JQO2,JQO3,JQO4,JQR2,JQR3,JQR4,JQS6,JQS7,JQS8,JQU2,JQU3,JQU4,JQU5,JQU6,JQU7,JQU8,JQU9,JQV2,JQV3,JQV4,JQV5,JQX5,JQX6,JQX7,JQX8,JQX9,JQY2,JQY9,JQZ2,JQZ3,JQZ7,JR22,JR3P,JSK9,JSL5,JSM2,JSM6,JT27,JT28,JT3M
"1998",0,232775.2,18117.9,4612.7,0,1.2,0,14710.7,812.6,0,40.8,25368.6,1852.1,12129.8,9895,0,23323.4,16109.6,1185.4,0,0,0,0,0,3502.9,297.6,5677,5974.2,219.5,8088.2,8307.8,1143.1,11674,12817.4,40.6,2820.2,2861,1559.4,5286.7,6845.9,2010,6612.4,8622.5,995.1,5680.6,6675.7,996,6670.8,7667,431.2,1203.6,1634.8,314.3,5634.4,5949.1,1498,8477.4,9975.5,1788.5,9892.8,11681.3,683.4,13586.5,14270.2,11132.8,13705.2,24838,738.9,2665.8,3404.9,1740.4,4059,5799.1,2587.5,2391.6,4979.2,872,2720,3591.8,2041.1,893.3,2934.4,5092.8,6135.5,11228.5,3312.5,3424.3,6736.7,4373.7,5022.5,9396.1,3822.5,15302.2,19125.1,179.7,4494.3,4674,1500.9,5832.2,7333.2,2084.2,4653.4,6737.6,2764.6,6017.3,8782.1,3153.2,14621.6,17774.8,404.4,1310.8,1714.9,3039.7,20291.2,23330.7,13782.4,13547,27328.9,20540.2,18134.6,38674.8,3082.9,6266.5,9349.1,3219.1,8531.1,11750.2,9111.7,9656.5,18768.2,11351.1,14705.3,26056,17636.1,33577.7,51214,16919.6,32909.8,49829.4,455.9,1960.7,2416.8,6814,5644.4,12458.4,163.9,566.1,729.9,10498.1,4704.9,15203.1,399.1,6798.3,7197.4,2208.4,5699.1,7907.3,186.6,457.3,644,1438.4,1921.7,3360.1,3866.3,7978.5,11844.6,0,1808.7,0,0,14.8,3.5,2727.4,358947.7,363681.2,0
"1999",0,239354.7,19988.7,5647.5,0,1.2,0,14996.7,644.5,0,60.4,30357.5,2750.1,13001.1,10760.3,0,23879.3,17752,1221.9,0,0,0,0,0,3770.8,397.6,5298.4,5696.1,242.2,7923.7,8166,1033.7,11794.7,12828.6,115.9,3187.3,3303,1738.3,4536.1,6274.5,2237.7,5867.1,8105,817.2,5148.1,5965.7,891.2,6000.2,6891.5,400.9,1124,1525.1,287.8,5206.6,5494.6,1348.8,8358.3,9707.2,1625.6,9792,11417.6,544.4,14164.3,14708.7,11758.9,13393.2,25152.4,775.4,2714.9,3490.3,1849.2,4177.6,6027,3035.1,2291.6,5326.8,856.4,2574.6,3431,2178.1,882.2,3060.7,5255.3,5782.2,11037.4,3779.3,3345.1,7124.5,4990.1,5109.4,10099.3,3948.2,14753.1,18701.4,196.2,4717.1,4913.2,1354.7,5607.2,6961.8,1765.3,4408.6,6173.7,2381,5710.4,8091.6,2849.4,14280.4,17130,312.7,1277.9,1590.6,2860.3,19356.8,22217.2,13967.7,14196.3,28164,20146.2,18355.7,38501.7,3179.8,6325.4,9505,3217.9,8577.3,11795.2,8359.2,9336.7,17695.8,10266.9,14495.7,24762.7,17440.4,34046.4,51486.8,16650.7,33564.7,50215.5,841.5,1915.9,2757.2,7002.4,6505.9,13508.3,174.7,476.1,650.8,10933.1,4569.6,15502.5,373.4,7188,7561,2155.2,5180,7335.1,369.1,352.2,721.3,1476.3,2156.1,3632.2,4615,9475.1,14089.9,0,1204.8,0,0,18.2,3.6,3067.3,358615.8,383505.9,0
"2000",104042.4,382115.8,27629.7,25523.8,3955.8,11363.1,39163.5,16157.7,6443.8,1513.2,41434.4,35465.2,5810.3,14698.8,11113.4,15963.8,23302.3,20940,8005.6,21720.4,16667.9,2930.3,4188.3,17850.2,3957,393.8,5009.6,5403.3,240.1,7992.7,8232.9,1041.7,12127,13168.6,81.1,3057.8,3139,1439.3,4699.3,6138.7,1843.2,6011.3,7854.2,723.3,5061.9,5785.1,718.5,5713.1,6431.5,487.4,960,1447.3,239.4,4848.5,5087.7,1383.9,8533.7,9917.6,1717.9,10100,11817.9,597.5,13179.9,13777.6,12771.5,13963.5,26734.8,669.7,3186,3855.7,1666.3,4355.6,6022,2881.7,2080.9,4962.3,845.7,2408.2,3253.8,2087.7,882.2,2969.7,6235.2,6587.4,12822.7,3956.3,3246.8,7203.1,5160.3,5602.6,10763,3770.7,14889.7,18660.6,173,4793.7,4966.7,1408.4,5662.4,7070.7,2188.8,4401.2,6589.8,2979,5798.8,8778.1,2583.7,14638.4,17222.1,325.9,1240.2,1566,2685,21018.9,23704,14749.4,15769.6,30519.2,21759.4,20287.5,42047,3492.6,6182.3,9674.8,3625.2,9071.1,12696.4,8573.3,9169.9,17743,10543.4,14156,24699.4,15935.8,31035,46970.8,15358.2,30969.6,46328,436.3,1736.6,2172.9,7005,6728,13733.1,215.3,598,813.5,10458.9,5257.4,15716.7,383.5,7069.1,7452.6,2049,5911.4,7960,134.4,381.7,516.3,1477.8,2215.2,3693.2,5601.2,10661,16262.2,684.5,4554.8,2815.3,4268,4733.5,899.2,3904,364129.7,884499.7,9881.2
"2001",108159.8,377725.9,28644.4,28730.2,4098.6,13068.2,42691.8,17151.1,12670.6,9795.6,44749.2,40089.3,6335.6,16679.4,12859,18831.7,25891.6,20718.4,8920.1,23224.3,19040.7,3709.9,5252.4,19641.5,4482.9,315.7,5494.7,5810.4,217.7,8002.6,8220.3,1007.1,12269.7,13277,59.9,3145.7,3205.7,1389.3,4123.4,5513,1689.6,5048.2,6737.8,800.8,4091.9,4892.3,793.7,4797.4,5591.5,436.8,1004.6,1441.4,218.1,5669.2,5887.2,1396.7,8389.1,9785.7,1701,9829.7,11531,638,12866.6,13504.4,13167.1,13737.2,26904.4,609.2,2681.4,3290.4,1436,4514.5,5950.7,2838.4,2339.5,5178,950.7,2369.8,3320.5,2057,832.6,2890,6253.6,5996.3,12250,4738.5,3679.1,8417.5,6292.7,6321.6,12614.3,3457.1,14538.9,17995.9,185.5,4774.3,4959.6,1444.9,5701.1,7146.2,2231.1,4221.1,6452.3,3089.9,5636.9,8726.8,2645.5,14556.5,17201.9,360,1227.1,1587,2851.8,20390.3,23241.9,12899.3,14366.1,27265.5,18583.9,19145.4,37729.2,3453.2,5816,9269.1,3511.4,8527.9,12039.5,8403.4,9607.1,18010.3,10055.2,14990.4,25045.2,14672.9,28065.3,42738.3,14419,28760.4,43179.5,271,1734.5,2005.5,7069.8,6891.8,13961.7,283.3,644.5,928,10481.8,5661,16142.6,367.3,7536.6,7904.1,2409.4,6047.2,8457,65.1,414.8,479.7,1491.4,2265.8,3757.2,4329.5,9481.8,13811.3,972.6,5495.7,4293.5,6392.5,25791.7,4918.4,3824.9,353655,971925.9,18026.1
"2002",118674.8,385445.1,29191.2,29563.6,4920.9,13555.9,44920.6,17039.1,12562.4,10473,47147,39531.4,6285.6,17777.3,12142.7,18325.3,25951.2,20344.1,9416.4,21953.3,18660.4,3771.3,5232.9,20978.4,4956.5,339.3,5437.1,5776.6,210.1,8084.6,8294.8,1277.6,13594.7,14872.7,40.9,3240.8,3282,1452.8,3930.8,5383.7,1708.2,4921.3,6629.5,515.1,3785.2,4300.7,520.3,4622.2,5142.5,525.8,917.9,1443.7,170.4,5926.1,6096.6,1227.4,8721.7,9949,1496.3,10122.1,11618.5,543.8,14386,14929.7,11601.7,14203.5,25805.3,682.2,2540.2,3222.7,1214.1,4841.4,6055.6,2169.5,2168.8,4338.4,839.7,2200.5,3040.3,1639.4,1385.8,3025.4,6357.8,6225.7,12583.3,5738.7,3046.4,8785.2,7738.2,5995.6,13734,3198.5,15698.1,18896.6,178.8,5114.4,5293.1,1402.6,5966,7368.5,1971.4,3613.4,5584.9,2732.4,4810.2,7542.4,2641,13999.6,16640.6,247.1,1051.7,1299.1,2989.5,19607.6,22597.1,9830.9,12496,22326.9,13691.9,15961.9,29653.7,2855.2,5539,8394.4,3020.3,7939.5,10959.6,7903.4,9086.7,16990.1,9617.3,14015.7,23633,15606.5,30473.7,46080.2,15244.5,30886,46130.4,316.8,1585,1901.9,7588.2,4566.6,12155.1,222.2,852.8,1074.8,9912.3,4452,14364.7,283.4,7379.4,7662.9,2589.4,5786.8,8376.4,82,374.4,456.6,1599.9,1638.7,3238.5,3209.4,8276.7,11486.1,1070.2,6658,4131.6,7086.8,6446.6,5163.9,3701.3,343811.3,979110.9,18717
"2003",127241.1,392789.5,30322.5,30262,5036.6,14359.9,47161.2,18016.3,12547.4,10638.5,50096.1,44661.5,6229.7,20131.4,11729.4,19996,27773.8,20592.9,10369.9,22777.1,17582.1,4291.6,5255.5,23242.5,5049,302.4,5717.9,6020.2,206,7787.5,7993.5,1130.9,13684.2,14815.1,75.9,3643,3718.9,1586.8,4176.2,5763.1,1859.1,5221.1,7080.3,578.3,3578.2,4156.2,653.9,4127.8,4781.6,468.4,682.7,1151,287,6446.3,6733.2,1236.3,9026.3,10262.5,1573.9,10332,11905.9,698.5,13197.7,13896.2,12703.3,16291.2,28994.7,904.5,2765.7,3670.1,1071.7,4435.4,5507.1,2069,2191.5,4260.4,866.6,2320.1,3186.5,1590.8,1280,2870.7,6884.3,7372.4,14256.9,5581.8,4529.2,10111.3,6900.1,7410.4,14310.6,3409.1,15928.5,19337.4,161.9,5442.9,5604.7,1342.6,5956.1,7298.6,1762,3355.2,5117.4,2417.1,4487.3,6904.4,2374.9,14507.4,16882.1,266.9,1505.1,1771.6,2620.8,19571,22191.5,9611.6,11876.8,21488.5,12003.1,14924.2,26927.3,2672.7,6973.3,9645.9,2828.9,8233.7,11062.7,8722.2,8494,17216.1,9816.2,13236.6,23052.8,16536.7,32274.4,48810.8,16012.4,32447.4,48459.8,346.3,1619.8,1966.4,7780.9,4837.1,12618.2,259.4,883.7,1143.2,9906,9743.1,19649.2,363.8,7346,7709.5,2459,6767.8,9226.6,81.8,388.3,470.2,1634.7,1730.6,3365.2,2889.1,7996.1,10885.3,1112,7524.6,4355,7975.4,318.9,5691.8,2916.4,346153.4,1013428.9,19067.1
"2004",133421.3,412807.9,32788.6,33209.8,5310.9,15702.8,49042.7,19849.2,13002.7,10879,52566.1,48079.1,6557,19129.4,13322.1,21811.8,29332.1,21805.2,10917.3,25772.6,20174.7,4420.9,5640.2,24464.7,4953.5,546.5,6322.8,6869.7,221.6,8263,8484.2,1054.7,14332.6,15387.3,52.6,3449.1,3501.7,1514.3,3953.7,5468.1,1669.4,4534,6203.4,588.4,3165.6,3753.9,650.9,3727.4,4378.3,336.4,427.1,763.6,413.8,6901.4,7315.5,1374.6,9404.5,10779.1,1471.7,9955.4,11426.9,651.3,12807.9,13459,13306.2,18163.7,31469.9,835.2,2565.6,3400.7,1327.9,4535.9,5863.9,2555.6,2715.7,5271.4,868.3,2597.5,3465.7,1674.7,1344.5,3019.4,7520,7740.9,15260.6,7277.4,4015.9,11293.4,7014.4,7249.8,14264,4233.2,16565.9,20799.2,196.8,5919.4,6116.4,1227.9,6002.8,7230.6,1971.7,3898.5,5870.2,2476.2,4856.3,7332.4,2520.4,16592.9,19113.6,227.2,1857.6,2085.1,2771.6,20702.6,23474.5,10310.8,14023.9,24334.6,12257.7,15048.3,27306.2,3731.1,6397,10127.8,3465.1,8302.6,11768,10341.6,9910.2,20251.9,10879.8,13697,24576.9,16850.2,33498.5,50348.6,16809.3,32951.8,49761.1,454,1839.9,2293.7,8342.7,5170.9,13513.6,257.4,1053.2,1310.5,12307.4,6459.7,18767.2,375.7,7313.1,7688.8,2530.4,7734,10263.8,121,400.7,521.6,1753.5,1861.4,3615,3175.6,8459.9,11635.6,1215.9,8381.8,4713.6,9890.4,9336.8,6017.8,2933.7,359627.8,1081766.8,18867.3
"2005",133428.5,472401.4,33604.3,37336.2,5223.4,16876.9,51375.8,18810.7,12952.6,9949.5,55615.2,51013.4,7243.2,21490,14255.3,24290.3,34007.4,22655.2,12517.9,26373.6,19573.8,5624.7,6618.9,27986.9,5508.4,669.6,6432.2,7101.9,231.6,8257,8488.6,1137.4,15125.2,16262.7,31.3,3313.5,3344.5,1651.3,4003.7,5655.1,1801.9,4324.5,6126.3,383.6,2789.2,3172.5,444.8,4149.4,4594.2,279.8,364.1,643.9,253.4,7342.8,7596.2,1433.9,8703.2,10137.3,1585,9659.5,11244.6,932.4,13265.7,14198.3,12012.8,18558.8,30571.9,951,2548.2,3499.2,1108,4622.6,5730.7,3335.6,3336,6671.3,943.4,2787.7,3731.1,1570.6,975.7,2546.6,7720.6,8196.8,15917.3,6552.2,3841,10393,6740,8253.2,14993.2,4755.3,16213.9,20969.2,220.8,6052.1,6272.8,1392.2,6122.3,7514.3,2281.7,3982.2,6263.6,2856.2,5143.6,7999.8,4367.1,18986.2,23352.9,570.6,1803.7,2374,3172.3,22656.9,25829.4,10179.5,14499.9,24679.6,9562.5,13914.4,23476.8,3933.5,6973.3,10906.7,3847.3,8247.6,12095.1,10783,10011.8,20794.8,11175.5,14466.3,25641.9,17336.9,33497.3,50834,17001.9,33422.3,50424.3,502,2148.1,2650,8438.4,5629.5,14067.9,278.1,972.6,1251.1,16538.3,5603.4,22141.9,308.4,7226.3,7534.4,2519.4,7081.6,9601.1,135.9,489.7,625.6,1779.4,2007.5,3786.9,3424,8070,11494.4,1372.3,9360.9,4990.5,11242.1,34259.4,5858.6,2711.1,366299.5,1199228.9,18941.1
"2006",134487.3,539208.6,35589.8,39934.9,5313.4,17706.8,55824.7,19815.3,11572.3,7837.7,55929.7,54558,7736,23684.5,16880.2,28388.2,37933.4,23104,12201.5,32166.6,19312.6,6195.3,7227.4,26560.6,5976.8,464.4,7465.9,7930.1,222.7,7754.5,7977.2,1245.7,15227.8,16473.5,46.6,3761.2,3807.8,1253.1,3696.7,4949.5,1610.8,4428.9,6040,350.6,1940.5,2291.3,373.4,3658.7,4031.9,251.1,395.9,647.1,278.7,6736.2,7014.8,1225.3,7044.1,8269.6,1433.7,9334.7,10768.1,1049.5,13222.3,14272,10998.8,17649,28647.9,1254.5,2449,3703.4,1178.2,4770.2,5948.7,3191.1,2701,5891.9,936.7,2898.9,3835.6,1551.4,977.3,2528.9,7676,6157.1,13833.1,6779.3,4020.7,10800.1,8087.5,7354.2,15442,4763.5,16953.5,21716.7,262.8,6547.6,6810.1,1271.6,6650.5,7922.1,3255.1,4236.9,7492.1,3360.3,5818.2,9178.5,4610.9,19290.6,23901.1,474.7,2020.2,2495.1,4452.2,23616.5,28068.8,10072.8,10877.4,20950,10149.2,13229,23378.6,3795.2,6975.9,10771.3,4132.8,8888,13020.9,10366.8,9820.2,20187.2,12361.7,14962.2,27324,16304.1,32085.1,48389,15966.6,32627.6,48594.2,529.9,2173.4,2703.1,9450.1,7487,16937.1,303.8,683.4,987.3,15577.5,8603.3,24180.8,454.1,7222.4,7676.7,2542.3,6483.5,9025.9,142.2,493.5,635.7,1993.3,2605.1,4598.3,3554.7,7773.9,11328.6,1495.9,10234.9,5216.4,12973.2,36830.2,5675.7,2542.4,372547.4,1302943.4,20537.3
"2007",141296.6,588391.1,37511.2,46063.3,6057.9,19078,55677.8,19915,12128.4,7846.7,60236.8,60724,8789.4,25643.5,17117.5,34860.1,41352,25106.8,14357.3,35259.4,23098.1,5977.1,7820.8,31675.2,5836.2,526.6,7239.7,7766.3,266.9,8027.4,8294.3,1148.3,14367.6,15516.1,44.7,3752.1,3796.7,1341.9,3637.4,4979.2,1532.3,4133.1,5665.5,435.4,2283,2718.7,468.8,3236.9,3705.7,244.7,376.5,621.2,375.6,8795.7,9171.2,1360.4,7434.7,8795.2,1481.3,9389,10870.1,785.5,13207.2,13992.6,14447,20133.7,34580.7,869.6,2904.6,3774.3,1301.9,4506.9,5808.8,2557,2588.7,5145.6,1015,3315.2,4330.4,1412.5,918.7,2331.4,11329.5,9690.3,21019.7,7077.6,3965.9,11043.4,7987.5,6906,14894,4749.3,17402.6,22151.7,223.9,7741.5,7965.4,1485.2,6958.6,8443.9,2826.1,4329.7,7155.8,3218.3,6498.8,9717.3,5762.2,21489.7,27251.8,456.1,2333.2,2789.2,4978.6,27060.8,32039.6,11016.7,12934.1,23950.5,10193.5,12287,22480.5,4598.6,7683.2,12282.1,4380.8,9183.3,13564.1,11560.5,10511.8,22072.2,13193.3,16303.2,29496.7,19895.8,32484.3,52379.8,16544,35297.3,51841.3,653.9,2212.7,2866.6,8893.1,7793.7,16686.6,350.8,699.5,1050.4,35599.2,10409.7,46008.8,433.1,7781.7,8214.6,3164.7,7580.9,10745.5,192.9,474.7,667.3,1870.2,2651.1,4521.5,3827,8343.7,12170.6,1628.4,12471.5,5473.3,14060.1,40461,6227.5,2696.2,394116,1416364.1,21463
