,GMAA,GMAF,GMAK,GMAM,GMAT,GMAX,GMAZ,GMBB
"1980",12419,17505,2961,2738,,,,
"1981",11451,19048,2970,3271,,,,
"1982",11638,20611,3186,3640,,,,
"1983",12464,20994,4002,4088,,,,
"1984",13642,22074,4613,4666,,,,
"1985",14450,21608,5442,4870,,,,
"1986",13897,24948,5554,6082,13897,24948,5550,6080
"1987",15565,27447,6259,7280,15565,27447,6260,7280
"1988",15799,28830,6185,8215,15799,28830,6200,8200
"1989",17339,31032,6945,9357,17339,31032,6950,9360
"1990",18017,31150,7748,9884,18017,31150,7740,9884
"1991",17125,30809,7386,9951,17125,30809,7390,9951
"1992",18533,33832,7892,11243,18533,33832,7892,11243
"1993",19866,36722,9487,12972,19866,36722,9487,12972
"1994",20794,39630,9785,14364,20727,39131,9785,14249
"1995",23538,41346,11762,15388,23522,41129,11764,15243
"1996",25160,42053,12291,16223,25217,42033,12293,16236
"1997",25515,45957,12243,16929,25575,46185,12249,16975
"1998",25746,50873,12671,19490,25793,51053,12678,19653
"1999",25394,53882,12499,22020,25427,53812,12503,22016
"2000",25207,56837,12806,24250,25166,56576,12806,24140
"2001",22832,58281,11305,25332,22839,58209,11299,25251
"2002",24392,59498,11737,26962,24347,59529,11722,26907
"2003",24874,61334,11856,28550,24836,61431,11836,28608
"2004",27626,64174,13047,30285,27603,64052,13022,30199
"2005",29970,66442,14247,32155,29979,66491,14227,32296
"2006",32715,69535,16001,34411,32685,69708,15979,34500
"2007",32778,69449,15959,35013,32796,69661,15939,35084
"2008",31888,69008,16326,36837,31966,69354,16303,36880
"2009",29886,58614,16591,31695,29862,58684,16572,31894
"2010",29804,55562,16714,31819,29810,54977,16881,31589
"2011",30798,56837,17998,31700,30760,56835,17985,31743
"2012",31085,56537,18640,32450,31123,56345,18633,32162
"2013",32812,58509,21011,34900,32540,57436,20842,33945
"1980 Q1",2081,2661,516,399,,,,
"1980 Q2",3240,4656,715,672,,,,
"1980 Q3",4738,6985,1122,1127,,,,
"1980 Q4",2360,3203,608,540,,,,
"1981 Q1",1920,2718,464,455,,,,
"1981 Q2",3008,4908,677,787,,,,
"1981 Q3",4261,7867,1152,1387,,,,
"1981 Q4",2262,3555,677,642,,,,
"1982 Q1",2013,2940,515,532,,,,
"1982 Q2",3174,5456,793,880,,,,
"1982 Q3",4255,8256,1189,1509,,,,
"1982 Q4",2196,3959,689,719,,,,
"1983 Q1",2013,2978,653,600,,,,
"1983 Q2",3200,5404,942,967,,,,
"1983 Q3",4714,8575,1496,1726,,,,
"1983 Q4",2537,4037,911,795,,,,
"1984 Q1",2153,3256,727,715,,,,
"1984 Q2",3582,5981,1074,1184,,,,
"1984 Q3",5180,8598,1752,1835,,,,
"1984 Q4",2727,4239,1060,932,,,,
"1985 Q1",2336,3280,900,845,,,,
"1985 Q2",3958,5583,1331,1152,,,,
"1985 Q3",5405,8257,2064,1876,,,,
"1985 Q4",2751,4488,1147,997,,,,
"1986 Q1",2579,3705,937,896,3477,5636,1360,1340
"1986 Q2",3320,6343,1278,1457,3349,6216,1350,1500
"1986 Q3",5065,9923,2095,2543,3557,6509,1420,1610
"1986 Q4",2933,4977,1244,1186,3514,6587,1420,1630
"1987 Q1",2641,4241,1015,1086,3674,6564,1500,1660
"1987 Q2",4047,7314,1497,1797,3985,7007,1580,1840
"1987 Q3",5618,10651,2370,2991,4035,6942,1630,1910
"1987 Q4",3259,5241,1377,1406,3872,6934,1550,1870
"1988 Q1",2777,4469,1047,1348,3778,6670,1540,1990
"1988 Q2",4013,7343,1463,1970,4004,7106,1540,2010
"1988 Q3",5549,11022,2230,3212,3981,7378,1520,2040
"1988 Q4",3460,5996,1445,1685,4036,7676,1600,2160
"1989 Q1",3337,5406,1183,1583,4469,7944,1720,2330
"1989 Q2",4265,7952,1567,2212,4230,7629,1660,2250
"1989 Q3",5961,11623,2537,3693,4240,7786,1730,2330
"1989 Q4",3776,6051,1658,1869,4400,7672,1840,2450
"1990 Q1",3323,5265,1366,1688,4625,7620,2010,2387
"1990 Q2",4537,8219,1854,2523,4361,7850,1910,2562
"1990 Q3",6306,11476,2816,3744,4606,8110,1920,2512
"1990 Q4",3851,6190,1712,1929,4426,7570,1900,2423
"1991 Q1",2836,5148,1146,1599,3830,7388,1650,2270
"1991 Q2",4297,7916,1742,2412,4296,7565,1830,2488
"1991 Q3",6012,11358,2690,3859,4448,8019,1860,2601
"1991 Q4",3980,6387,1808,2081,4550,7837,2050,2593
"1992 Q1",3345,6070,1380,1981,4636,8523,2013,2749
"1992 Q2",4897,9003,1928,2778,4732,8602,2012,2826
"1992 Q3",6188,12061,2804,4207,4516,8592,1841,2816
