am,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=am,"Business, Industry and Trade",Changes to Business,Mergers and Acquisitions
cxnv,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=cxnv,Economy,"Investments, Pensions and Trusts",
mq5,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=mq5,Economy,"Investments, Pensions and Trusts",
prof,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=prof,Economy,Balance of Payments,
sdq7,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=sdq7,Economy,Balance of Payments,
topsi,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=topsi,"Business, Industry and Trade",Manufacturing and Production Industry,
mret,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=mret,"Business, Industry and Trade",International Trade,
mq10,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=mq10,"Business, Industry and Trade",International Trade,
berd,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=berd,Economy,"Government, Public Sector and Taxes",Research and Development Expenditure
gerd,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=gerd,Economy,"Government, Public Sector and Taxes",Research and Development Expenditure
capstk,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=capstk,Economy,Gross Domestic Product (GDP),
nfbs,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=nfbs,Economy,Gross Domestic Product (GDP),
nbs,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=nbs,Economy,Gross Domestic Product (GDP),
diop,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=diop,Economy,Gross Domestic Product (GDP),
ios1,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ios1,Economy,Gross Domestic Product (GDP),
pnbp,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=pnbp,Economy,Balance of Payments,
bb,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=bb,Economy,Gross Domestic Product (GDP),
ct,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ct,Economy,Gross Domestic Product (GDP),
pgdp,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=pgdp,Economy,Gross Domestic Product (GDP),
pb,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=pb,Economy,Gross Domestic Product (GDP),
rghi,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=rghi,Economy,Gross Domestic Product (GDP),
srs,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=srs,Economy,Gross Domestic Product (GDP),
pn2,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=pn2,Economy,Gross Domestic Product (GDP),
qna,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=qna,Economy,Gross Domestic Product (GDP),
ukea,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ukea,Economy,Gross Domestic Product (GDP),
unem,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=unem,Employment and Labour Market,People in Work,Employment and Employee Types
emp,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=emp,Employment and Labour Market,People in Work,Employment and Employee Types
lms,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=lms,Employment and Labour Market,People in Work,Employment and Employee Types
mq5,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=mq5,Employment and Labour Market,People in Work,Employment and Employee Types
prdy,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=prdy,Employment and Labour Market,People in Work,Employment and Employee Types
pse,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=pse,Employment and Labour Market,Public Sector Personnel,
mm19,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=mm19,Economy,Inflation and Price Indices,
mm22,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=mm22,Economy,Inflation and Price Indices,
mm23,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=mm23,Economy,Inflation and Price Indices,
ppi,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ppi,Economy,Inflation and Price Indices,
drsi,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=drsi,"Business, Industry and Trade",Retail Industry,
sppi,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=sppi,Economy,Inflation and Price Indices,
ott,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ott,"Business, Industry and Trade",Tourism Industry,
