,AIHA,AIHD,AIHE,CBAQ,CBAS,CBAU,CBAW,CBAY,CBAZ,CBBA,CBBB,CBBI,CBBJ,CBBK,CBBL,CBBM,CBBT,CBBU,CBBV,CBBW,CBBX,CBBY,CBBZ,CBCA,CBCB,CBCC,CBCD,CBCE,CBCF,CBCG,CBCH,CBCI,CBCJ,CBCQ,CBCR,CBCS,CBCT,CBCU,CBDB,CBDC,CBDD,CBHZ,CBIA,CBIB,CBIC,CBID,CBIE,CBIF,CBIG,CBIH,CBII,DUCM,DWVH,DWVL,DWVW,DWVX,DWVY,DWVZ,DWWA,HCI7,HCI8,HCI9,HCJ2,HCJ3,HCJ4,HCJ5,HCJ6,HCJ7,HCJ8,HCJ9,HCK2,HCK3,HCK4,HCK5,HCK6,HCK7,HCK8,HCK9,HCL2,HCL3,HCL4,HCL5,HCL6,HCL7,HCL8,HCL9,HCM2,HCM3,HCM4,HCM5,HCM6,HCM7,HCM8,HCM9,HCN2,HCN3,HCN4,HCN5,HCN6,HCN7,HCN8,HCN9,HCO2,HCO3,HCO4,HCO5,HCO6,HCO7,HCO8,HCO9,HCP2,HCP3,HCP4,HCP5,HCP6,HIKB,HIKC
"1969",846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970",793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1971",884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1972",1210,1459,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2532,938,272,373,120,19,58,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1973",1205,466,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1304,951,254,473,218,53,36,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1974",504,114,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,367,137,284,63,68,22,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975",315,93,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,200,115,113,60,59,32,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1976",353,120,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,242,111,240,81,72,27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1977",481,304,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,372,109,433,79,62,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1978",567,463,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140,441,126,505,149,57,41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1979",534,515,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1656,417,117,780,153,56,31,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980",469,669,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,368,101,623,137,52,45,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1981",452,338,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144,327,125,545,230,68,30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1982",463,701,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2206,299,164,641,642,58,32,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1983",447,1261,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2343,305,142,689,337,44,54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1984",568,1838,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5474,398,170,2120,826,54,34,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
